"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 09, 2021","145.11","142.75","145.65","142.65","99.89M","1.31%"
"Jul 08, 2021","143.24","141.49","144.05","140.69","105.58M","-0.92%"
"Jul 07, 2021","144.57","143.58","144.88","142.74","104.91M","1.80%"
"Jul 06, 2021","142.02","140.17","143.11","140.15","108.18M","1.47%"
"Jul 02, 2021","139.96","137.90","140.00","137.74","78.95M","1.96%"
"Jul 01, 2021","137.27","136.68","137.30","135.77","52.49M","0.23%"
"Jun 30, 2021","136.96","136.13","137.38","135.89","63.26M","0.46%"
"Jun 29, 2021","136.33","134.82","136.49","134.38","64.56M","1.15%"
"Jun 28, 2021","134.78","133.46","135.24","133.46","62.11M","1.25%"
"Jun 25, 2021","133.11","133.46","133.89","132.81","70.78M","-0.22%"
"Jun 24, 2021","133.41","134.45","134.51","132.94","68.71M","-0.22%"
"Jun 23, 2021","133.70","133.87","134.31","133.24","60.21M","-0.21%"
"Jun 22, 2021","133.98","132.09","134.08","131.64","74.78M","1.27%"
"Jun 21, 2021","132.30","130.30","132.41","129.21","79.66M","1.41%"
"Jun 18, 2021","130.46","130.71","131.51","130.24","108.95M","-1.01%"
"Jun 17, 2021","131.79","129.94","132.54","129.66","96.72M","1.26%"
"Jun 16, 2021","130.15","130.26","130.89","128.49","91.82M","0.39%"
"Jun 15, 2021","129.64","130.07","130.59","129.41","62.75M","-0.64%"
"Jun 14, 2021","130.48","127.70","130.48","127.10","96.91M","2.46%"
"Jun 11, 2021","127.35","126.53","127.44","126.10","53.52M","0.98%"
"Jun 10, 2021","126.11","127.01","128.16","125.94","71.19M","-0.80%"
"Jun 09, 2021","127.13","127.34","127.70","126.57","56.88M","0.31%"
"Jun 08, 2021","126.74","126.72","128.44","126.22","74.40M","0.67%"
"Jun 07, 2021","125.90","126.05","126.24","124.85","71.06M","0.01%"
"Jun 04, 2021","125.89","124.07","126.16","123.85","75.17M","1.90%"
"Jun 03, 2021","123.54","124.66","124.83","123.14","76.23M","-1.22%"
"Jun 02, 2021","125.06","124.20","125.22","124.05","59.28M","0.63%"
"Jun 01, 2021","124.28","125.08","125.35","123.94","65.18M","-0.26%"
"May 28, 2021","124.61","125.57","125.80","124.55","71.31M","-0.53%"
"May 27, 2021","125.28","126.44","127.64","125.08","94.63M","-1.24%"
"May 26, 2021","126.85","126.96","127.39","126.42","56.58M","-0.04%"
"May 25, 2021","126.90","127.82","128.32","126.32","72.01M","-0.16%"
"May 24, 2021","127.10","126.01","127.94","125.94","63.09M","1.33%"
"May 21, 2021","125.43","127.82","128.00","125.21","79.30M","-1.48%"
"May 20, 2021","127.31","125.23","127.72","125.10","76.86M","2.10%"
"May 19, 2021","124.69","123.16","124.92","122.86","92.61M","-0.13%"
"May 18, 2021","124.85","126.56","126.99","124.78","63.34M","-1.12%"
"May 17, 2021","126.27","126.82","126.93","125.17","74.25M","-0.93%"
"May 14, 2021","127.45","126.25","127.89","125.85","81.92M","1.98%"
"May 13, 2021","124.97","124.58","126.15","124.26","105.86M","1.79%"
"May 12, 2021","122.77","123.40","124.64","122.25","112.17M","-2.49%"
"May 11, 2021","125.91","123.50","126.27","122.77","126.14M","-0.74%"
"May 10, 2021","126.85","129.41","129.54","126.81","88.07M","-2.58%"
"May 07, 2021","130.21","130.85","131.26","129.48","78.97M","0.36%"
"May 06, 2021","129.74","127.89","129.75","127.13","78.13M","1.28%"
"May 05, 2021","128.10","129.20","130.45","127.97","84.00M","0.20%"
"May 04, 2021","127.85","131.19","131.49","126.70","137.56M","-3.54%"
"May 03, 2021","132.54","132.04","134.07","131.83","75.14M","0.82%"
"Apr 30, 2021","131.46","131.78","133.56","131.07","109.84M","-1.51%"
"Apr 29, 2021","133.48","136.47","137.07","132.45","151.10M","-0.07%"
"Apr 28, 2021","133.58","134.31","135.02","133.08","107.76M","-0.60%"
"Apr 27, 2021","134.39","135.01","135.41","134.11","66.02M","-0.24%"
"Apr 26, 2021","134.72","134.83","135.06","133.56","66.91M","0.30%"
"Apr 23, 2021","134.32","132.16","135.12","132.16","78.76M","1.80%"
"Apr 22, 2021","131.94","133.04","134.15","131.41","84.57M","-1.17%"
"Apr 21, 2021","133.50","132.36","133.75","131.30","68.85M","0.29%"
"Apr 20, 2021","133.11","135.02","135.53","131.81","94.81M","-1.28%"
"Apr 19, 2021","134.84","133.51","135.47","133.34","94.26M","0.51%"
"Apr 16, 2021","134.16","134.30","134.67","133.28","84.92M","-0.25%"
"Apr 15, 2021","134.50","133.82","135.00","133.64","89.35M","1.87%"
"Apr 14, 2021","132.03","134.94","135.00","131.65","87.22M","-1.79%"
"Apr 13, 2021","134.43","132.44","134.66","131.93","91.27M","2.43%"
"Apr 12, 2021","131.24","132.52","132.85","130.63","91.42M","-1.32%"
"Apr 09, 2021","132.99","129.80","133.04","129.47","106.69M","2.02%"
"Apr 08, 2021","130.36","128.95","130.39","128.52","88.85M","1.92%"
"Apr 07, 2021","127.90","125.83","127.92","125.14","83.47M","1.34%"
"Apr 06, 2021","126.21","126.50","127.13","125.65","80.17M","0.25%"
"Apr 05, 2021","125.90","123.87","126.16","123.07","88.65M","2.36%"
"Apr 01, 2021","123.00","123.66","124.18","122.49","75.09M","0.70%"
"Mar 31, 2021","122.15","121.65","123.52","121.15","118.32M","1.88%"
"Mar 30, 2021","119.90","120.11","120.40","118.86","85.67M","-1.23%"
"Mar 29, 2021","121.39","121.65","122.58","120.73","80.82M","0.15%"
"Mar 26, 2021","121.21","120.35","121.48","118.92","94.07M","0.51%"
"Mar 25, 2021","120.59","119.54","121.66","119.00","98.85M","0.42%"
"Mar 24, 2021","120.09","122.82","122.90","120.07","88.53M","-2.00%"
"Mar 23, 2021","122.54","123.33","124.24","122.14","95.47M","-0.69%"
"Mar 22, 2021","123.39","120.33","123.87","120.26","111.91M","2.83%"
"Mar 19, 2021","119.99","119.90","121.43","119.68","185.55M","-0.45%"
"Mar 18, 2021","120.53","122.88","123.18","120.32","121.47M","-3.39%"
"Mar 17, 2021","124.76","124.05","125.86","122.34","111.93M","-0.65%"
"Mar 16, 2021","125.57","125.70","127.22","124.71","115.23M","1.27%"
"Mar 15, 2021","123.99","121.41","124.00","120.42","92.59M","2.45%"
"Mar 12, 2021","121.03","120.40","121.17","119.16","88.11M","-0.76%"
"Mar 11, 2021","121.96","122.54","123.21","121.26","103.03M","1.65%"
